ticker,lstm_s,mc_mean,mc_std,sent_score,regime,regime_conf,legacy_regime,risk_score_corr,div_status,topo_modifier,topo_chaos,topo_signal,causal_modifier,causal_score,combined_mod,adver_passed,adver_delta,adver_penalty,top_driver,ig_score,raw_conf,gated_conf,gdi,gdi_penalty,gdi_tension,conflict_ruling,arb_conf,asc_score,asc_penalty,asc_quadrant,bcs,aesl_zone,aesl_mult,alloc_pct,display_alloc_pct,kelly_frac,num_shares,decision,actual_ret,result_cat,result_icon,test_date,outcome_date,window
AAPL,1.0,1.0,0.0,0.08,Sideways,0.98,N/A,0.2163,OK,0.9104,0.7085,SIDEWAYS,1.0314,0.8046,0.9709,True,0.0145,1.0,log_return,0.00333,0.9944,0.9654,0.277,0.95,MILD,NO_CONFLICT,0.7241,0.9291,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.2167,MODERATE,0.819,16.38,16.38,0.5861,7,BUY,0.789,noise_c,🔍✓,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
MSFT,1.0,1.0,0.0,0.07,Bear,0.86,N/A,0.389,OK,0.9035,0.7445,SIDEWAYS,1.0314,0.8046,0.9675,True,0.0597,1.0,log_return,-0.000776,0.9937,0.9613,0.668,0.5,CRITICAL,NO_CONFLICT,0.721,0.9291,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.6176,CRITICAL,0.2898,2.9,2.9,0.535,0,HOLD,-0.516,hold,—,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
NVDA,0.9999,0.9999,0.0001,0.12,Bear,0.89,N/A,0.6277,MINOR,0.9204,0.6557,SIDEWAYS,0.9355,0.6182,0.928,True,0.0134,1.0,sma10_dist,0.004398,0.9957,0.9239,0.6772,0.5,CRITICAL,MILD_ADJUST,0.614,0.9291,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.6129,CRITICAL,0.2898,1.79,1.79,0.3567,1,HOLD,-0.24,hold,—,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
TSLA,0.9991,0.9991,0.0009,0.25,Bear,0.89,N/A,0.72,CRITICAL,0.9865,0.5673,CHAOTIC,0.9355,0.6182,0.961,True,0.0479,1.0,sma10_dist,0.003137,0.9981,0.9592,0.7493,0.5,CRITICAL,MILD_ADJUST,0.6043,0.9291,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.5864,MODERATE,0.69,2.94,2.94,0.3405,1,HOLD,21.305,hold,—,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
META,0.9996,0.9996,0.0004,0.1,Sideways,0.8,N/A,0.3741,OK,1.0094,0.4532,NEUTRAL,0.9655,0.6515,0.9875,True,0.0444,1.0,vol_change,0.004119,0.9951,0.9827,0.2747,0.95,MILD,NO_CONFLICT,0.737,0.9291,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.1945,MILD,0.828,16.56,16.56,0.6055,2,BUY,1.944,noise_c,🔍✓,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
GOOGL,0.9998,0.9998,0.0002,0.06,Sideways,0.86,N/A,0.3231,OK,0.924,0.6367,SIDEWAYS,0.9655,0.6515,0.9447,False,0.0006,0.72,macd_norm,0.002967,0.9934,0.6757,0.2789,0.95,MILD,NO_CONFLICT,0.5068,0.9291,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.2775,MODERATE,0.75,9.27,9.27,0.2602,5,HOLD,2.176,hold,—,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
AMZN,0.0028,0.0028,0.0028,0.08,Bear,0.89,N/A,0.4921,MINOR,0.9914,0.5432,CHAOTIC,0.9355,0.6182,0.9634,True,-0.8826,1.0,vol_change,0.005871,0.1673,0.1612,0.2494,0.95,MILD,NO_CONFLICT,0.1153,0.922,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.4915,MODERATE,0.75,0.0,2.0,-0.4744,0,SELL,-0.121,noise_c,🔍✓,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
AMD,0.0847,0.0847,0.0847,0.08,Bear,0.98,N/A,0.72,CRITICAL,0.906,0.7314,SIDEWAYS,0.9355,0.6182,0.9207,True,-0.8936,1.0,sma10_dist,0.003163,0.1988,0.1831,0.3047,0.95,MILD,SYSTEMIC_VETO,0.0412,0.9092,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.3655,MODERATE,0.69,0.0,2.0,-0.598,0,SELL,1.551,noise_w,🔍✗,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
INTC,0.0259,0.0259,0.0259,0.03,Bear,0.68,N/A,0.72,CRITICAL,0.9873,0.5636,CHAOTIC,0.9355,0.6182,0.9614,True,-0.7595,1.0,macd_norm,0.003321,0.1692,0.2644,0.2711,0.95,MILD,SYSTEMIC_VETO,0.0595,0.9203,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.2195,MILD,0.828,0.0,2.0,-0.5675,0,SELL,0.0,noise_c,🔍✓,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
ORCL,0.1046,0.1046,0.1046,0.06,Bear,0.93,N/A,0.3503,OK,1.0106,0.4471,CHAOTIC,0.9655,0.6515,0.988,True,-0.8847,1.0,log_return,-0.001234,0.2037,0.2013,0.2587,0.95,MILD,MILD_ADJUST,0.1345,0.9288,0.75,STRONG SYCOPHANCY — low dominance (−25%),0.0735,HARMONY,1.0,0.0,2.0,-0.4425,0,SELL,4.353,wrong,❌,2024-11-06,2024-11-11,Win1:  Bull-PostElection  (Nov06→11-2024)
